"Site","Table","Rows"
"Site 11","wp_11_posts","167"
"Site 11","wp_11_relevanssi","121"
"Site 11","wp_11_term_relationships","104"
"Site 11","wp_11_wpmailsmtp_tasks_meta","75"
"Site 11","wp_11_yoast_seo_meta","75"
"Site 11","wp_11_yoast_indexable","67"
"Site 11","wp_11_yoast_indexable_hierarchy","65"
"Site 11","wp_11_gf_entry_meta","34"
"Site 11","wp_11_yoast_migrations","26"
"Site 11","wp_11_term_taxonomy","21"
"Site 11","wp_11_terms","21"
"Site 11","wp_11_wpr_above_the_fold","16"
"Site 11","wp_11_wpr_lazy_render_content","16"
"Site 11","wp_11_wpr_preconnect_external_domains","16"
"Site 11","wp_11_redirection_logs","11"
"Site 11","wp_11_actionscheduler_actions","10"
"Site 11","wp_11_gf_entry_notes","10"
"Site 11","wp_11_redirection_items","10"
"Site 11","wp_11_gf_form","5"
"Site 11","wp_11_gf_form_meta","5"
"Site 11","wp_11_gf_entry","2"
"Site 11","wp_11_gf_addon_feed","1"
"Site 11","wp_11_redirection_groups","1"
"Site 11","wp_11_actionscheduler_claims","0"
"Site 11","wp_11_actionscheduler_groups","0"
"Site 11","wp_11_actionscheduler_logs","0"
"Site 11","wp_11_cmplz_cookiebanners","0"
"Site 11","wp_11_cmplz_cookies","0"
"Site 11","wp_11_cmplz_dnsmpd","0"
"Site 11","wp_11_cmplz_services","0"
"Site 11","wp_11_cmplz_statistics","0"
"Site 11","wp_11_commentmeta","0"
"Site 11","wp_11_comments","0"
"Site 11","wp_11_ewwwio_images","0"
"Site 11","wp_11_ewwwio_queue","0"
"Site 11","wp_11_gf_draft_submissions","0"
"Site 11","wp_11_gf_form_revisions","0"
"Site 11","wp_11_gf_form_view","0"
"Site 11","wp_11_gf_rest_api_keys","0"
"Site 11","wp_11_links","0"
"Site 11","wp_11_relevanssi_log","0"
"Site 11","wp_11_relevanssi_stopwords","0"
"Site 11","wp_11_termmeta","0"
"Site 11","wp_11_umbrella_backup","0"
"Site 11","wp_11_umbrella_log","0"
"Site 11","wp_11_umbrella_task_backup","0"
"Site 11","wp_11_wpfm_backup","0"
"Site 11","wp_11_wpmailsmtp_debug_events","0"
"Site 11","wp_11_wpr_performance_monitoring","0"
"Site 11","wp_11_wpr_preload_fonts","0"
"Site 11","wp_11_wpr_rocket_cache","0"
