"Site 21","58","11481393"
"Site 2","68","4178424"
"Site 9","61","2132113"
"Site 7","62","1703153"
"Site 3","61","1655893"
"Site 10","59","1358206"
"Site 6","59","1257168"
"Site 8","62","1122966"
"Site 16","59","1020985"
"Site 13","63","794743"
"Site 20","60","567179"
"Site 19","58","280190"
"Main Site","72","214236"
"Site 23","57","137934"
"Site 17","49","27869"
"Site 11","58","22634"
"Site 22","57","21663"
"Site 18","55","18736"
"Site 14","52","6541"
"Site 12","52","5958"
"Site 15","57","2857"
"Site 24","47","1695"
"Site 25","47","633"
